point,time_s,signal_raw,signal_scaled
309,60.526396411,322593,153.824329376
310,60.722154976,316666,150.99811554
311,60.917913540,310876,148.237228394
312,61.113672104,305225,145.542621613
313,61.309430669,299704,142.910003662
314,61.505189233,294311,140.338420868
315,61.700947798,289049,137.829303741
316,61.896706362,283914,135.380744934
317,62.092464927,278896,132.987976074
318,62.288223491,273993,130.650043488
319,62.483982055,269207,128.367900848
320,62.679740620,264536,126.140594482
321,62.875499184,259972,123.964309692
322,63.071257749,255515,121.839046478
323,63.267016313,251166,119.765281677
324,63.462774878,246923,117.742061615
325,63.658533442,242782,115.767478943
326,63.854292007,238739,113.839626312
327,64.050050571,234793,111.958026886
328,64.245809135,230941,110.121250153
329,64.441567700,227179,108.327388763
330,64.637326264,223501,106.573581696
331,64.833084829,219906,104.859352112
332,65.028843393,216394,103.184700012
333,65.224601958,212968,101.551055908
334,65.420360522,209629,99.958896637
335,65.616119086,206375,98.4072685242
336,65.811877651,203205,96.8956947327
337,66.007636215,200113,95.4213142395
338,66.203394780,197096,93.9826965332
339,66.399153344,194147,92.5765037537
340,66.594911909,191258,91.1989212036
341,66.790670473,188431,89.8509025574
342,66.986429038,185671,88.5348320007
343,67.182187602,182984,87.2535705566
344,67.377946166,180365,86.0047340393
345,67.573704731,177808,84.7854614258
346,67.769463295,175312,83.5952758789
347,67.965221860,172879,82.435131073
348,68.160980424,170509,81.3050270081
349,68.356738989,168196,80.2021026611
350,68.552497553,165941,79.1268348694
351,68.748256117,163745,78.07970047
352,68.944014682,161607,77.0602226257
353,69.139773246,159522,76.0660171509
354,69.335531811,157485,75.0946998596
355,69.531290375,155494,74.1453170776
356,69.727048940,153549,73.2178688049
357,69.922807504,151651,72.3128318787
358,70.118566069,149799,71.4297294617
359,70.314324633,147995,70.5695152283
360,70.510083197,146237,69.7312355042
361,70.705841762,144522,68.9134597778
362,70.901600326,142846,68.1142807007
363,71.097358891,141213,67.3356056213
364,71.293117455,139619,66.5755271912
365,71.488876020,138061,65.8326148987
366,71.684634584,136541,65.1078224182
